PeakID (cmd=annotatePeaks.pl loss_I315IvI315X.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
54	chr2	234296129	234296628	+	0	NA	Intergenic	LTR16B1|LTR|ERVL	158217	NR_146988	105373934	Hs.471685	NR_146988	ENSG00000231682	LINC01891	-	long intergenic non-protein coding RNA 1891	ncRNA
498	chr3	15830088	15830587	+	0	NA	intron (NM_001349279, intron 1 of 28)	MER1B|DNA|hAT-Charlie	29477	NM_001349279	23243	Hs.335239	NM_015199	ENSG00000206560	ANKRD28	PITK|PPP1R65	ankyrin repeat domain 28	protein-coding
357	chr10	51950643	51951142	+	0	NA	intron (NM_001098512, intron 5 of 17)	LTR27B|LTR|ERV1	-251297	NM_015235	23283	Hs.591358	NM_015235	ENSG00000177613	CSTF2T	CstF-64T	cleavage stimulation factor subunit 2 tau variant	protein-coding
691	chr12	89222170	89222669	+	0	NA	Intergenic	L1PA8|LINE|L1	130082	NM_001946	1848	Hs.298654	NM_001946	ENSG00000139318	DUSP6	HH19|MKP3|PYST1	dual specificity phosphatase 6	protein-coding
675	chr20	53631816	53632315	+	0	NA	intron (NR_134576, intron 2 of 2)	intron (NR_134576, intron 2 of 2)	23711	NR_134576	105372672	Hs.259350	NR_134576	ENSG00000235415	LOC105372672	-	uncharacterized LOC105372672	ncRNA
255	chr10	68947696	68948195	+	0	NA	Intergenic	L2b|LINE|L2	-8225	NM_004728	9188	Hs.223141	NM_004728	ENSG00000165732	DDX21	GUA|GURDB|RH-II/GU|RH-II/GuA	DExD-box helicase 21	protein-coding
1080	chr11	11958587	11959086	+	0	NA	3' UTR (NM_017944, exon 27 of 27)	3' UTR (NM_017944, exon 27 of 27)	49803	NM_001018057	27122	Hs.292156	NM_013253	ENSG00000050165	DKK3	REIC|RIG	dickkopf WNT signaling pathway inhibitor 3	protein-coding
751	chr15	82838190	82838689	+	0	NA	Intergenic	Intergenic	28811	NM_001080435	123720	Hs.377360	NM_001080435	ENSG00000156232	WHAMM	WHAMM1|WHDC1	WASP homolog associated with actin, golgi membranes and microtubules	protein-coding
615	chr2	241515767	241516266	+	0	NA	Intergenic	AluSx1|SINE|Alu	-6444	NM_001282305	10494	Hs.516807	NM_006374	ENSG00000115694	STK25	SOK1|YSK1	serine/threonine kinase 25	protein-coding
769	chr10	5650923	5651422	+	0	NA	intron (NR_024581, intron 2 of 4)	intron (NR_024581, intron 2 of 4)	15423	NR_037164	79754	Hs.445899	NM_024701	ENSG00000196372	ASB13	-	ankyrin repeat and SOCS box containing 13	protein-coding
383	chr3	196537303	196537802	+	0	NA	Intergenic	Intergenic	-22206	NM_001077657	255798	Hs.631933	NM_001077657	ENSG00000214097	SMCO1	C3orf43	single-pass membrane protein with coiled-coil domains 1	protein-coding
1026	chr17	30238263	30238762	+	0	NA	Intergenic	Intergenic	-2815	NM_001045	6532	Hs.29792	NM_001045	ENSG00000108576	SLC6A4	5-HTT|5-HTTLPR|5HTT|HTT|OCD1|SERT|SERT1|hSERT	solute carrier family 6 member 4	protein-coding
224	chr10	97599211	97599710	+	0	NA	intron (NM_138413, intron 3 of 6)	MIR|SINE|MIR	9739	NM_001009997	414157	Hs.662302	NM_001009997	ENSG00000203942	C10orf62	bA548K23.1	chromosome 10 open reading frame 62	protein-coding
1250	chr4	75817869	75818368	+	0	NA	Intergenic	MLT1F2|LTR|ERVL-MaLR	84334	NM_006239	5470	Hs.290873	NM_006239	ENSG00000156194	PPEF2	PPP7CB	protein phosphatase with EF-hand domain 2	protein-coding
829	chr22	47192140	47192639	+	0	NA	Intergenic	Intergenic	-153182	NR_144462	339685	Hs.434351	NR_038922	ENSG00000224715	LOC339685	-	uncharacterized LOC339685	ncRNA
740	chr10	14133345	14133844	+	0	NA	intron (NR_134578, intron 2 of 3)	intron (NR_134578, intron 2 of 3)	59310	NR_120638	101928453	Hs.650212	NR_120638		LOC101928453	-	uncharacterized LOC101928453	ncRNA
11	chr7	139566878	139567377	+	0	NA	3' UTR (NM_022740, exon 15 of 15)	3' UTR (NM_022740, exon 15 of 15)	43442	NM_001080511	154790	Hs.57806	NM_001080511	ENSG00000236279	CLEC2L	-	C-type lectin domain family 2 member L	protein-coding
933	chr16	88005070	88005569	+	0	NA	intron (NM_001173539, intron 5 of 12)	intron (NM_001173539, intron 5 of 12)	35301	NM_001173543	54971	Hs.461705	NM_017869	ENSG00000172530	BANP	BEND1|SMAR1|SMARBP1	BTG3 associated nuclear protein	protein-coding
465	chr1	44760502	44761001	+	0	NA	intron (NM_006845, intron 16 of 20)	intron (NM_006845, intron 16 of 20)	-1284	NR_145793	109623476		NR_145793		SNORD160	-	small nucleolar RNA, C/D box 160	snoRNA
1212	chr9	100337796	100338295	+	0	NA	intron (NM_001161584, intron 5 of 14)	LTR50|LTR|ERVL	14526	NM_001161584	54881	Hs.494648	NM_017746	ENSG00000136891	TEX10	Ipi1|bA208F1.2	testis expressed 10	protein-coding
17	chr2	234436486	234436985	+	0	NA	Intergenic	Intergenic	17860	NR_146988	105373934	Hs.471685	NR_146988	ENSG00000231682	LINC01891	-	long intergenic non-protein coding RNA 1891	ncRNA
832	chr2	232506569	232507068	+	0	NA	Intergenic	Intergenic	-13645	NM_001369848	646960	Hs.570310	NM_001195129	ENSG00000237412	PRSS56	MCOP6	serine protease 56	protein-coding
1056	chr11	934214	934713	+	0	NA	intron (NR_144509, intron 1 of 20)	intron (NR_144509, intron 1 of 20)	8593	NR_144509	161	Hs.19121	NM_012305	ENSG00000183020	AP2A2	ADTAB|CLAPA2|HIP-9|HIP9|HYPJ	adaptor related protein complex 2 subunit alpha 2	protein-coding
996	chr1	31849043	31849542	+	0	NA	Intergenic	L1MC5a|LINE|L1	-33241	NM_144569	90853	Hs.62604	NM_144569	ENSG00000134668	SPOCD1	PPP1R146	SPOC domain containing 1	protein-coding
589	chr9	3365911	3366410	+	0	NA	intron (NM_134428, intron 3 of 17)	MLT1I|LTR|ERVL-MaLR	29436	NM_002919	5991	Hs.136829	NM_002919	ENSG00000080298	RFX3	-	regulatory factor X3	protein-coding
462	chr2	58160709	58161208	+	0	NA	intron (NR_156742, intron 8 of 9)	intron (NR_156742, intron 8 of 9)	80422	NR_156742	55120	Hs.631890	NM_018062	ENSG00000115392	FANCL	FAAP43|PHF9|POG	FA complementation group L	protein-coding
390	chr12	131628831	131629330	+	0	NA	Intergenic	Intergenic	19041	NR_146868	105370085	Hs.739274	NR_146868		LINC02414	-	long intergenic non-protein coding RNA 2414	ncRNA
1231	chr3	72911280	72911779	+	0	NA	intron (NM_001080393, intron 2 of 6)	MLT1F|LTR|ERVL-MaLR	23483	NM_001080393	727936	Hs.710275	NM_001080393	ENSG00000172986	GXYLT2	GLT8D4	glucoside xylosyltransferase 2	protein-coding
1220	chr18	12944628	12945127	+	0	NA	Intergenic	Intergenic	-3107	NM_031216	81929	Hs.301048	NM_031216	ENSG00000085415	SEH1L	SEC13L|SEH1A|SEH1B|Seh1	SEH1 like nucleoporin	protein-coding
501	chr12	466014	466513	+	0	NA	intron (NM_173593, intron 1 of 19)	intron (NM_173593, intron 1 of 19)	6324	NM_173593	283358	Hs.504416	NM_173593	ENSG00000139044	B4GALNT3	-	beta-1,4-N-acetyl-galactosaminyltransferase 3	protein-coding
130	chr2	219437195	219437694	+	0	NA	intron (NM_005876, intron 1 of 40)	intron (NM_005876, intron 1 of 40)	2601	NM_005876	10290	Hs.21639	NM_005876	ENSG00000072195	SPEG	APEG-1|APEG1|BPEG|CNM5|MYLK6|SPEGalpha|SPEGbeta	striated muscle enriched protein kinase	protein-coding
835	chr2	200804835	200805334	+	0	NA	intron (NR_110275, intron 1 of 3)	intron (NR_110275, intron 1 of 3)	-6462	NM_014670	9689	Hs.355983	NM_014670	ENSG00000082153	BZW1	BZAP45|Nbla10236	basic leucine zipper and W2 domains 1	protein-coding
970	chr12	123982470	123982969	+	0	NA	intron (NM_001347902, intron 2 of 4)	intron (NM_001347902, intron 2 of 4)	9504	NM_001204298	144348	Hs.524828	NM_152437	ENSG00000179195	ZNF664	ZFOC1|ZNF176	zinc finger protein 664	protein-coding
799	chr4	3331724	3332223	+	0	NA	intron (NM_002926, intron 2 of 16)	intron (NM_002926, intron 2 of 16)	17826	NM_198229	6002	Hs.527061	NM_002926	ENSG00000159788	RGS12	-	regulator of G protein signaling 12	protein-coding
1086	chr1	12011146	12011645	+	0	NA	intron (NM_001127660, intron 17 of 17)	MIRb|SINE|MIR	-8103	NM_021933	60672	Hs.8595	NM_021933	ENSG00000116691	MIIP	IIP45	migration and invasion inhibitory protein	protein-coding
246	chr5	171441182	171441681	+	0	NA	intron (NM_003862, intron 3 of 4)	L2a|LINE|L2	21784	NM_003862	8817	Hs.87191	NM_003862	ENSG00000156427	FGF18	FGF-18|ZFGF5	fibroblast growth factor 18	protein-coding
376	chr1	11664824	11665323	+	0	NA	intron (NM_018438, intron 1 of 5)	AluJb|SINE|Alu	873	NM_018438	26270	Hs.464419	NM_018438	ENSG00000116663	FBXO6	FBG2|FBS2|FBX6|Fbx6b	F-box protein 6	protein-coding
1007	chr1	196600892	196601391	+	0	NA	intron (NM_001287820, intron 1 of 26)	L2b|LINE|L2	7299	NM_198503	343450	Hs.657046	NM_198503	ENSG00000162687	KCNT2	EIEE57|KCa4.2|SLICK|SLO2.1	potassium sodium-activated channel subfamily T member 2	protein-coding
910	chr2	42162415	42162914	+	0	NA	intron (NR_110584, intron 1 of 3)	AluJb|SINE|Alu	-6689	NM_019063	27436	Hs.713173	NM_019063	ENSG00000143924	EML4	C2orf2|ELP120|EMAP-4|EMAPL4|ROPP120	EMAP like 4	protein-coding
316	chr20	262985	263484	+	0	NA	Intergenic	L1M1|LINE|L1	5510	NM_207469	400830	Hs.516819	NM_207469	ENSG00000186458	DEFB132	BD-32|DEFB-32|DEFB32|HEL-75|KFLL827|UNQ827	defensin beta 132	protein-coding
838	chr17	10674674	10675173	+	0	NA	3' UTR (NM_004589, exon 6 of 6)	3' UTR (NM_004589, exon 6 of 6)	-17614	NM_002470	4621	Hs.440895	NM_002470	ENSG00000109063	MYH3	CPSKF1A|CPSKF1B|DA2A|DA2B|DA2B3|DA8|HEMHC|MYHC-EMB|MYHSE1|SMHCE	myosin heavy chain 3	protein-coding
874	chr4	176081660	176082159	+	0	NA	intron (NM_181265, intron 1 of 28)	MLT1L|LTR|ERVL-MaLR	16068	NM_181265	116966	Hs.532056	NM_170710	ENSG00000150627	WDR17	-	WD repeat domain 17	protein-coding
349	chr4	89955216	89955715	+	0	NA	TTS (NM_007351)	TTS (NM_007351)	60611	NM_007351	22915	Hs.268107	NM_007351	ENSG00000138722	MMRN1	ECM|EMILIN4|GPIa*|MMRN	multimerin 1	protein-coding
468	chr7	157329204	157329703	+	0	NA	Intergenic	Intergenic	-7551	NM_001363676	10049	Hs.490745	NM_005494	ENSG00000105993	DNAJB6	DJ4|DnaJ|HHDJ1|HSJ-2|HSJ2|LGMD1D|LGMD1E|LGMDD1|MRJ|MSJ-1	DnaJ heat shock protein family (Hsp40) member B6	protein-coding
113	chr17	58669645	58670144	+	0	NA	intron (NM_031272, intron 1 of 31)	L2c|LINE|L2	22161	NM_031272	56155	Hs.390221	NM_031272	ENSG00000121101	TEX14	CT113|SPGF23	testis expressed 14, intercellular bridge forming factor	protein-coding
661	chr2	202503644	202504143	+	0	NA	intron (NM_001204, intron 3 of 12)	LTR12C|LTR|ERV1	127566	NM_001204	659	Hs.471119	NM_001204	ENSG00000204217	BMPR2	BMPR-II|BMPR3|BMR2|BRK-3|POVD1|PPH1|T-ALK	bone morphogenetic protein receptor type 2	protein-coding
279	chr1	244063386	244063885	+	0	NA	Intergenic	Intergenic	10430	NM_006352	10472	Hs.69997	NM_006352	ENSG00000179456	ZBTB18	C2H2-171|MRD22|RP58|TAZ-1|ZNF238	zinc finger and BTB domain containing 18	protein-coding
93	chr7	18558903	18559402	+	0	NA	intron (NM_001204147, intron 1 of 9)	LTR78|LTR|ERV1	49882	NM_001204147	9734	Hs.196054	NM_014707	ENSG00000048052	HDAC9	HD7|HD7b|HD9|HDAC|HDAC7|HDAC7B|HDAC9B|HDAC9FL|HDRP|MITR	histone deacetylase 9	protein-coding
659	chr22	42351262	42351761	+	0	NA	Intergenic	L2a|LINE|L2	17697	NR_120595	102723775	Hs.335413	NR_120595	ENSG00000229891	LINC01315	C22orf32-1|lnc-C22orf32-1	long intergenic non-protein coding RNA 1315	ncRNA
814	chr18	79556828	79557327	+	0	NA	Intergenic	Intergenic	-22205	NR_148949	284240	Hs.448912	NR_148949		LOC284240	-	uncharacterized LOC284240	ncRNA
484	chr15	66898762	66899261	+	0	NA	Intergenic	Intergenic	57504	NR_135687	102723481	Hs.512978	NR_135687	ENSG00000259289	LINC02206	-	long intergenic non-protein coding RNA 2206	ncRNA
219	chr11	408688	409187	+	0	NA	intron (NM_001135054, intron 2 of 9)	intron (NM_001135054, intron 2 of 9)	6062	NM_001135054	59307	Hs.501624	NM_021805	ENSG00000185187	SIGIRR	IL-1R8|TIR8	single Ig and TIR domain containing	protein-coding
173	chr17	18015123	18015622	+	0	NA	intron (NM_031294, intron 12 of 13)	intron (NM_031294, intron 12 of 13)	23796	NM_145691	91647	Hs.528889	NM_145691	ENSG00000171953	ATPAF2	ATP12|ATP12p|LP3663|MC5DN1	ATP synthase mitochondrial F1 complex assembly factor 2	protein-coding
1226	chr4	2452121	2452620	+	0	NA	intron (NM_001193282, intron 11 of 15)	intron (NM_001193282, intron 11 of 15)	-16736	NM_002938	6047	Hs.66394	NM_002938	ENSG00000063978	RNF4	RES4-26|SLX5|SNURF	ring finger protein 4	protein-coding
204	chr2	58520523	58521022	+	0	NA	promoter-TSS (NR_033873)	promoter-TSS (NR_033873)	19	NR_033873	400955	Hs.503210	NR_033873	ENSG00000233723	LINC01122	-	long intergenic non-protein coding RNA 1122	ncRNA
471	chr3	197900347	197900846	+	0	NA	intron (NM_001323029, intron 9 of 11)	L1M1|LINE|L1	49329	NM_001323027	84223	Hs.591675	NM_032263	ENSG00000114473	IQCG	CFAP122|DRC9	IQ motif containing G	protein-coding
258	chr6	116265264	116265763	+	0	NA	intron (NM_001322937, intron 2 of 6)	L1PA13|LINE|L1	11342	NM_001322937	29940	Hs.458358	NM_013352	ENSG00000111817	DSE	DS-epi1|DSEP|DSEPI|EDSMC2|SART-2|SART2	dermatan sulfate epimerase	protein-coding
678	chr10	34410696	34411195	+	0	NA	intron (NM_001184791, intron 4 of 20)	LTR40b|LTR|ERVL	404351	NM_001184791	56288	Hs.131489	NM_019619	ENSG00000148498	PARD3	ASIP|Baz|PAR3|PAR3alpha|PARD-3|PARD3A|PPP1R118|SE2-5L16|SE2-5LT1|SE2-5T2	par-3 family cell polarity regulator	protein-coding
809	chr11	101929478	101929977	+	0	NA	intron (NM_001363543, intron 2 of 11)	L1MD1|LINE|L1	-13205	NM_178127	253935	Hs.318370	NM_178127	ENSG00000187151	ANGPTL5	-	angiopoietin like 5	protein-coding
1050	chr1	90046502	90047001	+	0	NA	Intergenic	Intergenic	51641	NM_181781	284695	Hs.306221	NM_181781	ENSG00000162664	ZNF326	ZAN75|ZIRD|Zfp326|dJ871E2.1	zinc finger protein 326	protein-coding
618	chr10	50967967	50968466	+	0	NA	Intergenic	MLT2B4|LTR|ERVL	-22672	NM_001098512	5592	Hs.407535	NM_006258	ENSG00000185532	PRKG1	AAT8|PKG|PKG1|PRKG1B|PRKGR1B|cGK|cGK 1|cGK1|cGKI|cGKI-BETA|cGKI-alpha	protein kinase cGMP-dependent 1	protein-coding
1065	chr9	92153969	92154468	+	0	NA	intron (NR_027341, intron 2 of 3)	intron (NR_027341, intron 2 of 3)	12751	NR_027341	158314	Hs.149940	NR_027341		LINC00475	C9orf44	long intergenic non-protein coding RNA 475	ncRNA
411	chr4	773182	773681	+	0	NA	Intergenic	LTR12C|LTR|ERV1	8417	NR_036512	100129917	Hs.731755	NR_036511	ENSG00000249592	LOC100129917	-	uncharacterized LOC100129917	ncRNA
966	chr6	34553771	34554270	+	0	NA	intron (NM_012391, intron 1 of 5)	L2c|LINE|L2	2309	NM_012391	25803	Hs.485158	NM_012391	ENSG00000124664	SPDEF	PDEF|bA375E1.3	SAM pointed domain containing ETS transcription factor	protein-coding
881	chr5	75109629	75110128	+	0	NA	intron (NM_001164443, intron 19 of 24)	LTR78|LTR|ERV1	-57320	NM_001366737	51301	Hs.272404	NM_016591	ENSG00000176928	GCNT4	C2GNT3|LINC01336	glucosaminyl (N-acetyl) transferase 4	protein-coding
360	chr19	1298414	1298913	+	0	NA	intron (NM_001405, intron 3 of 3)	intron (NM_001405, intron 3 of 3)	12790	NM_001405	1943		NM_001405	ENSG00000099617	EFNA2	ELF-1|EPLG6|HEK7-L|LERK-6|LERK6	ephrin A2	protein-coding
492	chrX	130095468	130095967	+	0	NA	intron (NM_001127197, intron 1 of 8)	intron (NM_001127197, intron 1 of 8)	14783	NM_001421	2000	Hs.271940	NM_001421	ENSG00000102034	ELF4	ELFR|MEF	E74 like ETS transcription factor 4	protein-coding
38	chr4	3488227	3488726	+	0	NA	intron (NM_001363811, intron 3 of 7)	intron (NM_001363811, intron 3 of 7)	3932	NM_001256896	285489	Hs.122110	NM_173660	ENSG00000175920	DOK7	C4orf25|CMS10|CMS1B|FADS3	docking protein 7	protein-coding
1012	chr5	123534304	123534803	+	0	NA	intron (NM_001364141, intron 2 of 14)	MLT1E1A|LTR|ERVL-MaLR	-10864	NM_001044723	1456	Hs.129206	NM_004384	ENSG00000151292	CSNK1G3	CKI-gamma 3|CSNK1G3L	casein kinase 1 gamma 3	protein-coding
1256	chr6	34190649	34191148	+	0	NA	Intergenic	Intergenic	-35276	NM_001256809	2914	Hs.429018	NM_000841	ENSG00000124493	GRM4	GPRC1D|MGLUR4|mGlu4	glutamate metabotropic receptor 4	protein-coding
1031	chr11	43620979	43621478	+	0	NA	Intergenic	Intergenic	39834	NR_029697	406918		NR_029697	ENSG00000199077	MIR129-2	MIR-129b|MIRN129-2|mir-129-2	microRNA 129-2	ncRNA
1020	chr3	31572539	31573038	+	0	NA	intron (NM_178862, intron 1 of 15)	AluJo|SINE|Alu	39863	NM_178862	201595	Hs.475812	NM_178862	ENSG00000163527	STT3B	CDG1X|SIMP|STT3-B	STT3 oligosaccharyltransferase complex catalytic subunit B	protein-coding
521	chr17	70074302	70074801	+	0	NA	promoter-TSS (NM_001291622)	promoter-TSS (NM_001291622)	-674	NM_170741	3773	Hs.463985	NM_018658	ENSG00000153822	KCNJ16	BIR9|KIR5.1	potassium voltage-gated channel subfamily J member 16	protein-coding
543	chr17	19012646	19013145	+	0	NA	intron (NM_001270649, intron 9 of 13)	intron (NM_001270649, intron 9 of 13)	-8131	NM_001039999	644815	Hs.710727	NM_001039999	ENSG00000188522	FAM83G	PAWS1	family with sequence similarity 83 member G	protein-coding
634	chr10	14598868	14599367	+	0	NA	intron (NM_001282695, intron 2 of 5)	intron (NM_001282695, intron 2 of 5)	5284	NM_001282697	83641	Hs.446315	NM_031453	ENSG00000065809	FAM107B	C10orf45|HITS	family with sequence similarity 107 member B	protein-coding
495	chr5	103837635	103838134	+	0	NA	Intergenic	Intergenic	-275095	NM_031438	83594	Hs.434289	NM_031438	ENSG00000112874	NUDT12	-	nudix hydrolase 12	protein-coding
365	chr7	155460640	155461139	+	0	NA	intron (NM_001427, intron 1 of 1)	intron (NM_001427, intron 1 of 1)	2760	NM_001427	2020	Hs.134989	NM_001427	ENSG00000164778	EN2	-	engrailed homeobox 2	protein-coding
181	chr19	47219812	47220311	+	0	NA	TTS (NM_001127240)	TTS (NM_001127240)	-6881	NR_036158	100422899		NR_036158	ENSG00000265134	MIR3190	mir-3190	microRNA 3190	ncRNA
203	chr2	147977865	147978364	+	0	NA	intron (NM_181742, intron 1 of 13)	intron (NM_181742, intron 1 of 13)	42623	NM_001190882	5000	Hs.558364	NM_002552	ENSG00000115947	ORC4	ORC4L|ORC4P	origin recognition complex subunit 4	protein-coding
1169	chr10	126932400	126932899	+	0	NA	intron (NM_001290223, intron 1 of 51)	intron (NM_001290223, intron 1 of 51)	27240	NM_001380	1793	Hs.159195	NM_001380	ENSG00000150760	DOCK1	DOCK180|ced5	dedicator of cytokinesis 1	protein-coding
1000	chr10	73635757	73636256	+	0	NA	intron (NM_021245, intron 3 of 5)	intron (NM_021245, intron 3 of 5)	5468	NM_021245	58529	Hs.238756	NM_021245	ENSG00000177791	MYOZ1	CS-2|FATZ|MYOZ	myozenin 1	protein-coding
696	chr10	71873772	71874271	+	0	NA	Intergenic	Intergenic	-22770	NM_002778	5660	Hs.523004	NM_002778	ENSG00000197746	PSAP	GLBA|SAP1	prosaposin	protein-coding
109	chr7	25129001	25129500	+	0	NA	Intergenic	L1M1|LINE|L1	-3889	NM_018947	54205	Hs.437060	NM_018947	ENSG00000172115	CYCS	CYC|HCS|THC4	cytochrome c, somatic	protein-coding
362	chr1	151266101	151266600	+	0	NA	exon (NM_002810, exon 8 of 10)	exon (NM_002810, exon 8 of 10)	11616	NM_001330692	5710	Hs.505059	NM_002810	ENSG00000159352	PSMD4	AF|AF-1|ASF|MCB1|Rpn10|S5A|pUB-R5	proteasome 26S subunit, non-ATPase 4	protein-coding
490	chr3	113950834	113951333	+	0	NA	intron (NR_135271, intron 2 of 6)	MLT1A0-int|LTR|ERVL-MaLR	3070	NR_135271	254887	Hs.21902	NM_173570	ENSG00000184307	ZDHHC23	DHHC-23|NIDD	zinc finger DHHC-type containing 23	protein-coding
1041	chr11	326212	326711	+	0	NA	Intergenic	Intergenic	-5601	NR_049759	10410	Hs.374650	NM_021034	ENSG00000142089	IFITM3	1-8U|DSPA2b|IP15	interferon induced transmembrane protein 3	protein-coding
756	chr6	12064950	12065449	+	0	NA	intron (NM_002114, intron 2 of 8)	intron (NM_002114, intron 2 of 8)	52887	NM_002114	3096	Hs.567284	NM_002114	ENSG00000095951	HIVEP1	CIRIP|CRYBP1|GAAP|MBP-1|PRDII-BF1|Schnurri-1|ZAS1|ZNF40|ZNF40A	human immunodeficiency virus type I enhancer binding protein 1	protein-coding
544	chr18	35594486	35594985	+	0	NA	Intergenic	Intergenic	2998	NR_039771	100616257		NR_039771	ENSG00000283514	MIR3975	-	microRNA 3975	ncRNA
633	chr1	228010431	228010930	+	0	NA	intron (NM_033131, intron 1 of 3)	intron (NM_033131, intron 1 of 3)	3682	NM_033131	89780	Hs.336930	NM_033131	ENSG00000154342	WNT3A	-	Wnt family member 3A	protein-coding
267	chr16	31436705	31437204	+	0	NA	5' UTR (NM_001136509, exon 2 of 2)	5' UTR (NM_001136509, exon 2 of 2)	5835	NM_001136509	283933	Hs.722243	NM_001136509	ENSG00000176723	ZNF843	-	zinc finger protein 843	protein-coding
1206	chr17	43601659	43602158	+	0	NA	Intergenic	Intergenic	-55568	NM_001079675	2118	Hs.434059	NM_001986	ENSG00000175832	ETV4	E1A-F|E1AF|PEA3|PEAS3	ETS variant 4	protein-coding
1057	chr5	154834714	154835213	+	0	NA	intron (NM_032385, intron 2 of 8)	intron (NM_032385, intron 2 of 8)	5505	NR_039667	100616306		NR_039667	ENSG00000263361	MIR378H	-	microRNA 378h	ncRNA
915	chr1	89725549	89726048	+	0	NA	Intergenic	LTR85a|LTR|Gypsy?	92678	NM_032270	84230	Hs.412836	NM_032270	ENSG00000171488	LRRC8C	AD158|FAD158	leucine rich repeat containing 8 VRAC subunit C	protein-coding
138	chr9	124389234	124389733	+	0	NA	intron (NM_002799, intron 5 of 7)	intron (NM_002799, intron 5 of 7)	25959	NM_002799	5695	Hs.213470	NM_002799	ENSG00000136930	PSMB7	Z	proteasome subunit beta 7	protein-coding
1215	chr16	29656789	29657288	+	0	NA	Intergenic	L2a|LINE|L2	-5912	NM_001030288	6693	Hs.632188	NM_003123	ENSG00000197471	SPN	CD43|GALGP|GPL115|LSN	sialophorin	protein-coding
457	chr2	218419479	218419978	+	0	NA	intron (NM_007127, intron 1 of 19)	intron (NM_007127, intron 1 of 19)	605	NM_007127	7429	Hs.654595	NM_007127	ENSG00000127831	VIL1	D2S1471|VIL	villin 1	protein-coding
398	chr10	6127965	6128464	+	0	NA	Intergenic	Intergenic	-16707	NM_001323016	5209	Hs.195471	NM_004566	ENSG00000170525	PFKFB3	IPFK2|PFK2|iPFK-2	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3	protein-coding
975	chr2	102752123	102752622	+	0	NA	intron (NM_001321346, intron 1 of 3)	intron (NM_001321346, intron 1 of 3)	-9659	NM_144632	130827	Hs.436203	NM_144632	ENSG00000170417	TMEM182	-	transmembrane protein 182	protein-coding
1191	chr20	47512846	47513345	+	0	NA	intron (NM_181659, intron 1 of 22)	AluSz6|SINE|Alu	11208	NM_001174088	8202	Hs.592142	NM_006534	ENSG00000124151	NCOA3	ACTR|AIB-1|AIB1|CAGH16|CTG26|KAT13B|RAC3|SRC-3|SRC3|TNRC14|TNRC16|TRAM-1|bHLHe42|pCIP	nuclear receptor coactivator 3	protein-coding
1178	chr13	20923192	20923691	+	0	NA	Intergenic	Intergenic	-20667	NM_022459	64328	Hs.507452	NM_022459	ENSG00000132953	XPO4	exp4	exportin 4	protein-coding
114	chr3	160172579	160173078	+	0	NA	intron (NR_108088, intron 3 of 9)	intron (NR_108088, intron 3 of 9)	34264	NR_108088	101928376	Hs.565865	NR_108088	ENSG00000244040	IL12A-AS1	ILAS1-AS1	IL12A antisense RNA 1	ncRNA
991	chr15	33200312	33200811	+	0	NA	Intergenic	Intergenic	-5828	NM_001277313	342184	Hs.657649	NM_198500	ENSG00000248905	FMN1	FMN|LD	formin 1	protein-coding
947	chr8	58567622	58568121	+	0	NA	intron (NM_001348339, intron 2 of 7)	Tigger3b|DNA|TcMar-Tigger	14610	NM_005625	6386	Hs.200804	NM_005625	ENSG00000137575	SDCBP	MDA-9|MDA9|ST1|SYCL|TACIP18	syndecan binding protein	protein-coding
22	chr8	126472904	126473403	+	0	NA	Intergenic	MER83|LTR|ERV1	85325	NR_156466	157638	Hs.124951	NM_174911	ENSG00000168672	LRATD2	BCMP101|FAM84B|NSE2	LRAT domain containing 2	protein-coding
912	chr3	31789345	31789844	+	0	NA	intron (NM_001174060, intron 3 of 10)	intron (NM_001174060, intron 3 of 10)	85381	NR_049771	100874206	Hs.662428	NR_049771	ENSG00000232490	OSBPL10-AS1	-	OSBPL10 antisense RNA 1	ncRNA
873	chr22	30454065	30454564	+	0	NA	Intergenic	Intergenic	17733	NM_001257382	266629	Hs.505601	NM_174975	ENSG00000100012	SEC14L3	TAP2	SEC14 like lipid binding 3	protein-coding
1027	chr2	189232315	189232814	+	0	NA	Intergenic	Intergenic	-52803	NM_000393	1290	Hs.445827	NM_000393	ENSG00000204262	COL5A2	EDSC|EDSCL2	collagen type V alpha 2 chain	protein-coding
174	chr11	78170465	78170964	+	0	NA	TTS (NM_001029859)	TTS (NM_001029859)	17912	NM_001029859	283219	Hs.528439	NM_001029859	ENSG00000188997	KCTD21	KCASH2	potassium channel tetramerization domain containing 21	protein-coding
1074	chr22	20532571	20533070	+	0	NA	intron (NM_001293237, intron 1 of 16)	intron (NM_001293237, intron 1 of 16)	24773	NM_001293237	51586	Hs.517421	NM_015889	ENSG00000099917	MED15	ARC105|CAG7A|CTG7A|PCQAP|TIG-1|TIG1|TNRC7	mediator complex subunit 15	protein-coding
