PeakID (cmd=annotatePeaks.pl gain_I315IvI315X.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
11919	chr2	218359176	218359675	+	0	NA	intron (NM_001320865, intron 4 of 9)	intron (NM_001320865, intron 4 of 9)	-1459	NR_125777	103689911		NR_125777		CATIP-AS2	-	CATIP antisense RNA 2	ncRNA
10893	chr10	70518635	70519134	+	0	NA	intron (NM_014431, intron 1 of 19)	intron (NM_014431, intron 1 of 19)	40117	NM_014431	27143	Hs.202351	NM_014431	ENSG00000107719	PALD1	KIAA1274|PALD	phosphatase domain containing paladin 1	protein-coding
27916	chr5	37606821	37607320	+	0	NA	intron (NM_001345998, intron 10 of 17)	AluSx|SINE|Alu	227752	NM_018034	55100	Hs.213690	NM_018034	ENSG00000082068	WDR70	-	WD repeat domain 70	protein-coding
11668	chr9	123217128	123217627	+	0	NA	intron (NR_033234, intron 1 of 18)	intron (NR_033234, intron 1 of 18)	51209	NM_001171137	55342	Hs.287659	NM_018387	ENSG00000165209	STRBP	HEL162|ILF3L|SPNR|p74	spermatid perinuclear RNA binding protein	protein-coding
3619	chr3	15310559	15311058	+	0	NA	intron (NM_001018009, intron 2 of 8)	intron (NM_001018009, intron 2 of 8)	21778	NM_004844	9467	Hs.257761	NM_004844	ENSG00000131370	SH3BP5	SAB|SH3BP-5	SH3 domain binding protein 5	protein-coding
12467	chr8	134778067	134778566	+	0	NA	Intergenic	Intergenic	22291	NR_029666	407030		NR_029666	ENSG00000207582	MIR30B	MIRN30B|mir-30b	microRNA 30b	ncRNA
16613	chr12	12667913	12668412	+	0	NA	intron (NM_006143, intron 3 of 3)	LTR37B|LTR|ERV1	28021	NM_006143	2842	Hs.657862	NM_006143	ENSG00000183150	GPR19	-	G protein-coupled receptor 19	protein-coding
15993	chr10	112648997	112649919	+	0	NA	intron (NM_001365712, intron 6 of 8)	intron (NM_001365712, intron 6 of 8)	15288	NR_036177	100422909		NR_036177	ENSG00000264763	MIR4295	-	microRNA 4295	ncRNA
8000	chr4	185556106	185556605	+	0	NA	Intergenic	L1PB1|LINE|L1	-20797	NM_014476	27295	Hs.701364	NM_014476	ENSG00000154553	PDLIM3	ALP	PDZ and LIM domain 3	protein-coding
15608	chr11	88535845	88536344	+	0	NA	intron (NM_001143831, intron 7 of 8)	intron (NM_001143831, intron 7 of 8)	31518	NR_049724	100873989	Hs.616625	NR_049724	ENSG00000255082	GRM5-AS1	-	GRM5 antisense RNA 1	ncRNA
26032	chr20	48279108	48279607	+	0	NA	Intergenic	MER41C|LTR|ERV1	-80554	NR_026958	284749	Hs.299080	NR_026958	ENSG00000235621	LINC00494	-	long intergenic non-protein coding RNA 494	ncRNA
2603	chr5	80214224	80214723	+	0	NA	intron (NR_126061, intron 1 of 13)	intron (NR_126061, intron 1 of 13)	41575	NM_178276	256987	Hs.288232	NM_178276	ENSG00000164300	SERINC5	C5orf12|TPO1	serine incorporator 5	protein-coding
5829	chr11	102599537	102600036	+	0	NA	intron (NM_004771, intron 6 of 9)	intron (NM_004771, intron 6 of 9)	25546	NM_004771	9313	Hs.591946	NM_004771	ENSG00000137674	MMP20	AI2A2|MMP-20	matrix metallopeptidase 20	protein-coding
6803	chr7	12031626	12032549	+	0	NA	Intergenic	LTR37B|LTR|ERV1	-179207	NM_001134232	54664	Hs.396358	NM_018374	ENSG00000106460	TMEM106B	HLD16	transmembrane protein 106B	protein-coding
28481	chr17	76659453	76659952	+	0	NA	Intergenic	Intergenic	-12226	NR_130916	105274304	Hs.572495	NR_130916	ENSG00000261335	LOC105274304	-	uncharacterized LOC105274304	ncRNA
2072	chr12	120181888	120182387	+	0	NA	intron (NM_006836, intron 5 of 57)	AluSx|SINE|Alu	12578	NM_006836	10985	Hs.298716	NM_006836	ENSG00000089154	GCN1	GCN1L|GCN1L1|PRIC295	GCN1 activator of EIF2AK4	protein-coding
5891	chr5	34736640	34737139	+	0	NA	intron (NM_001145525, intron 4 of 19)	MER1B|DNA|hAT-Charlie	49330	NM_001145523	26064	Hs.431400	NM_015577	ENSG00000039560	RAI14	NORPEG|RAI13	retinoic acid induced 14	protein-coding
20722	chr20	39853586	39854085	+	0	NA	Intergenic	MamSINE1|SINE|tRNA-RTE	-150626	NR_109937	100505663	Hs.559348	NR_109936	ENSG00000237767	LINC01370	HI-LNC25|HILNC25	long intergenic non-protein coding RNA 1370	ncRNA
28846	chr4	101944628	101945127	+	0	NA	intron (NM_017935, intron 7 of 16)	intron (NM_017935, intron 7 of 16)	131035	NM_001083907	55024	Hs.480400	NM_017935	ENSG00000153064	BANK1	BANK	B cell scaffold protein with ankyrin repeats 1	protein-coding
15213	chr11	96097930	96098429	+	0	NA	intron (NM_032427, intron 1 of 4)	intron (NM_032427, intron 1 of 4)	-173972	NM_016156	8898	Hs.181326	NM_016156	ENSG00000087053	MTMR2	CMT4B|CMT4B1	myotubularin related protein 2	protein-coding
4903	chr4	149519569	149520068	+	0	NA	intron (NM_001363507, intron 12 of 13)	AluY|SINE|Alu	296025	NM_001363509	285423	Hs.591689	NM_001363507	ENSG00000234828	IQCM	-	IQ motif containing M	protein-coding
9593	chr2	33069763	33070262	+	0	NA	intron (NM_206943, intron 3 of 33)	intron (NM_206943, intron 3 of 33)	-64585	NM_001166264	4052	Hs.619315	NM_000627	ENSG00000049323	LTBP1	-	latent transforming growth factor beta binding protein 1	protein-coding
16208	chr2	85893728	85894227	+	0	NA	Intergenic	Intergenic	4697	NR_110569	101928113	Hs.625888	NR_110569		ST3GAL5-AS1	-	ST3GAL5 antisense RNA 1 (head to head)	ncRNA
27296	chr18	23793991	23794490	+	0	NA	intron (NM_001127717, intron 12 of 73)	MER21A|LTR|ERVL	-78780	NM_001127718	3909	Hs.436367	NM_000227	ENSG00000053747	LAMA3	BM600|E170|LAMNA|LOCS	laminin subunit alpha 3	protein-coding
3384	chr4	88178230	88178729	+	0	NA	intron (NM_001257386, intron 1 of 15)	L1MA4|LINE|L1	-19156	NM_001348989	9429	Hs.480218	NM_004827	ENSG00000118777	ABCG2	ABC15|ABCP|BCRP|BCRP1|BMDP|CD338|CDw338|EST157481|GOUT1|MRX|MXR|MXR-1|MXR1|UAQTL1	ATP binding cassette subfamily G member 2 (Junior blood group)	protein-coding
9083	chr21	19977890	19978389	+	0	NA	Intergenic	Intergenic	-78384	NR_146910	105372746	Hs.580899	NR_146910	ENSG00000233480	LINC01683	C21orf40	long intergenic non-protein coding RNA 1683	ncRNA
17828	chr7	114263954	114264453	+	0	NA	intron (NR_033766, intron 1 of 19)	Charlie1|DNA|hAT-Charlie	-150612	NM_001172766	93986	Hs.282787	NM_014491	ENSG00000128573	FOXP2	CAGH44|SPCH1|TNRC10	forkhead box P2	protein-coding
20399	chr20	57013616	57014115	+	0	NA	Intergenic	Intergenic	-199831	NR_110631	102723590	Hs.667674	NR_110631		BMP7-AS1	-	BMP7 antisense RNA 1	ncRNA
18583	chr13	65306841	65307340	+	0	NA	Intergenic	Intergenic	-558957	NR_132362	105370242	Hs.578051	NR_132362		LINC01052	-	long intergenic non-protein coding RNA 1052	ncRNA
14007	chr5	54581121	54581620	+	0	NA	Intergenic	Intergenic	63611	NM_001145427	112574	Hs.432755	NM_052870	ENSG00000178996	SNX18	SH3PX2|SH3PXD3B|SNAG1	sorting nexin 18	protein-coding
11299	chr1	210916086	210916585	+	0	NA	intron (NM_002238, intron 7 of 10)	UCON40|Unknown|Unknown	217039	NR_046784	100874296	Hs.737764	NR_046784		KCNH1-IT1	-	KCNH1 intronic transcript 1	ncRNA
4198	chr12	92999920	93000419	+	0	NA	Intergenic	MER39|LTR|ERV1	-70874	NM_003566	8411	Hs.567367	NM_003566	ENSG00000102189	EEA1	MST105|MSTP105|ZFYVE2	early endosome antigen 1	protein-coding
24107	chr7	94364420	94364919	+	0	NA	Intergenic	Intergenic	27523	NR_147206	101927525	Hs.571263	NR_147206		COL1A2-AS1	TCONS_00013888|lncRNA8975-1	COL1A2 antisense RNA 1	ncRNA
8938	chr2	29106840	29107339	+	0	NA	intron (NM_001287528, intron 1 of 14)	intron (NM_001287528, intron 1 of 14)	-7789	NR_109844	79745	Hs.122927	NM_024692	ENSG00000115295	CLIP4	RSNL2	CAP-Gly domain containing linker protein family member 4	protein-coding
24215	chr21	44237252	44237751	+	0	NA	intron (NM_001283050, intron 2 of 6).2	intron (NM_001283050, intron 2 of 6).2	3442	NM_001283052	23308	Hs.14155	NM_015259	ENSG00000160223	ICOSLG	B7-H2|B7H2|B7RP-1|B7RP1|B7h|CD275|GL50|ICOS-L|ICOSL|LICOS	inducible T cell costimulator ligand	protein-coding
834	chr7	42972819	42973318	+	0	NA	Intergenic	Intergenic	40692	NM_031903	64983	Hs.50252	NM_031903	ENSG00000106591	MRPL32	HSPC283|L32mt|MRP-L32|bMRP-59b	mitochondrial ribosomal protein L32	protein-coding
1831	chr11	77914307	77914806	+	0	NA	intron (NM_033547, intron 15 of 22)	intron (NM_033547, intron 15 of 22)	73418	NM_001363564	28971	Hs.745040	NM_024684	ENSG00000087884	AAMDC	C11orf67|CK067|PTD015	adipogenesis associated Mth938 domain containing	protein-coding
16527	chr12	25458155	25458654	+	0	NA	Intergenic	L2c|LINE|L2	94879	NM_001145728	160492	Hs.44647	NM_152590	ENSG00000152936	LMNTD1	IFLTD1|LMNARS1|PAS1C1	lamin tail domain containing 1	protein-coding
25402	chr2	28224474	28224973	+	0	NA	intron (NM_199193, intron 8 of 13)	intron (NM_199193, intron 8 of 13)	-17762	NR_120504	100505736	Hs.659540	NR_120504		LOC100505736	-	uncharacterized LOC100505736	ncRNA
13306	chr10	110802565	110803064	+	0	NA	intron (NM_001134363, intron 7 of 13)	intron (NM_001134363, intron 7 of 13)	68090	NR_026932	282997	Hs.599931	NR_026932		PDCD4-AS1	-	PDCD4 antisense RNA 1	ncRNA
1613	chr17	46929404	46929903	+	0	NA	intron (NM_001353116, intron 2 of 5)	intron (NM_001353116, intron 2 of 5)	6493	NM_054022	9570	Hs.463278	NM_004287	ENSG00000108433	GOSR2	Bos1|EPM6|GS27	golgi SNAP receptor complex member 2	protein-coding
16132	chr15	65646465	65646964	+	0	NA	intron (NM_001254740, intron 3 of 6)	L2c|LINE|L2	3835	NM_001254740	9187	Hs.173092	NM_004727	ENSG00000074621	SLC24A1	CSNB1D|HsT17412|NCKX|NCKX1|RODX	solute carrier family 24 member 1	protein-coding
2540	chr5	166369290	166369789	+	0	NA	Intergenic	Intergenic	556831	NR_108020	102557615		NR_108020	ENSG00000254130	LINC01947	CTB-7E3.1	long intergenic non-protein coding RNA 1947	ncRNA
18312	chr2	205670599	205671098	+	0	NA	Intergenic	Intergenic	-11652	NM_201264	8828	Hs.471200	NM_003872	ENSG00000118257	NRP2	NP2|NPN2|PRO2714|VEGF165R2	neuropilin 2	protein-coding
9457	chr6	106557839	106558338	+	0	NA	intron (NM_001371242, intron 17 of 21)	intron (NM_001371242, intron 17 of 21)	46233	NM_001624	202	Hs.724262	NM_001624	ENSG00000112297	CRYBG1	AIM1|ST4	crystallin beta-gamma domain containing 1	protein-coding
4244	chr16	18988949	18989448	+	0	NA	intron (NM_001160364, intron 1 of 15)	intron (NM_001160364, intron 1 of 15)	4911	NM_001160364	79905	Hs.187377	NM_024847	ENSG00000170537	TMC7	-	transmembrane channel like 7	protein-coding
24995	chr5	72383242	72383741	+	0	NA	Intergenic	Intergenic	63118	NM_001284403	79810	Hs.126906	NM_024754	ENSG00000049883	PTCD2	-	pentatricopeptide repeat domain 2	protein-coding
12720	chr1	199685311	199685810	+	0	NA	Intergenic	Intergenic	-342150	NM_003822	2494	Hs.33446	NM_003822	ENSG00000116833	NR5A2	B1F|B1F2|CPF|FTF|FTZ-F1|FTZ-F1beta|LRH-1|LRH1|hB1F-2	nuclear receptor subfamily 5 group A member 2	protein-coding
3541	chr6	121485249	121485748	+	0	NA	Intergenic	Intergenic	49852	NM_000165	2697	Hs.74471	NM_000165	ENSG00000152661	GJA1	AVSD3|CMDR|CX43|EKVP|EKVP3|GJAL|HLHS1|HSS|ODDD|PPKCA	gap junction protein alpha 1	protein-coding
2146	chr7	86942031	86942530	+	0	NA	intron (NM_001291991, intron 2 of 20)	intron (NM_001291991, intron 2 of 20)	23619	NM_152748	222223	Hs.208093	NM_152748	ENSG00000164659	KIAA1324L	EIG121L	KIAA1324 like	protein-coding
26938	chr10	61137591	61138090	+	0	NA	Intergenic	MLT1B|LTR|ERVL-MaLR	121565	NR_108052	100507058	Hs.145227	NR_108052	ENSG00000227244	LINC00845	-	long intergenic non-protein coding RNA 845	ncRNA
9036	chr10	4700921	4701420	+	0	NA	Intergenic	L1ME1|LINE|L1	-23100	NR_024475	100216001	Hs.634869	NR_024475	ENSG00000231298	MANCR	LINC00704	mitotically associated long non coding RNA	ncRNA
21462	chr3	108546251	108546750	+	0	NA	Intergenic	Intergenic	-17178	NM_014981	22989	Hs.731060	NM_014981	ENSG00000144821	MYH15	-	myosin heavy chain 15	protein-coding
23273	chr2	149359781	149360280	+	0	NA	intron (NM_194317, intron 1 of 4)	MER41B|LTR|ERV1	29443	NM_194317	130574	Hs.21929	NM_194317	ENSG00000187123	LYPD6	-	LY6/PLAUR domain containing 6	protein-coding
27150	chr3	108472049	108472548	+	0	NA	intron (NM_014981, intron 13 of 41)	intron (NM_014981, intron 13 of 41)	57024	NM_014981	22989	Hs.731060	NM_014981	ENSG00000144821	MYH15	-	myosin heavy chain 15	protein-coding
9516	chr2	87593729	87594228	+	0	NA	Intergenic	Intergenic	-35777	NR_039634	100616499		NR_039634	ENSG00000265507	MIR4435-1	mir-4435-1	microRNA 4435-1	ncRNA
8026	chr2	160057352	160057851	+	0	NA	intron (NM_001007267, intron 1 of 26)	L2c|LINE|L2	5014	NM_001007267	22925	Hs.410477	NM_007366	ENSG00000153246	PLA2R1	CLEC13C|PLA2-R|PLA2G1R|PLA2IR|PLA2R	phospholipase A2 receptor 1	protein-coding
24360	chr9	97528423	97528922	+	0	NA	intron (NM_001166116, intron 2 of 9)	intron (NM_001166116, intron 2 of 9)	27006	NM_003275	7111	Hs.404289	NM_003275	ENSG00000136842	TMOD1	D9S57E|ETMOD|TMOD	tropomodulin 1	protein-coding
5636	chr1	39164964	39165463	+	0	NA	intron (NM_012090, intron 1 of 92)	intron (NM_012090, intron 1 of 92)	81046	NM_012090	23499	Hs.472475	NM_012090	ENSG00000127603	MACF1	ABP620|ACF7|LIS9|MACF|OFC4	microtubule actin crosslinking factor 1	protein-coding
27694	chr4	128660166	128660665	+	0	NA	Intergenic	Intergenic	-149285	NM_024900	79960	Hs.12420	NM_024900	ENSG00000077684	JADE1	PHF17	jade family PHD finger 1	protein-coding
25750	chr7	80488890	80489389	+	0	NA	intron (NM_001102386, intron 2 of 7)	intron (NM_001102386, intron 2 of 7)	22925	NM_001102386	346562	Hs.335049	NM_001102386	ENSG00000214415	GNAT3	GDCA	G protein subunit alpha transducin 3	protein-coding
8841	chr2	207394889	207395388	+	0	NA	Intergenic	LTR44|LTR|ERV1	-125714	NR_031633	100302130		NR_031633	ENSG00000221628	MIR1302-4	MIRN1302-4|hsa-mir-1302-4	microRNA 1302-4	ncRNA
9776	chr20	47681904	47682403	+	0	NA	intron (NM_198596, intron 7 of 20)	intron (NM_198596, intron 7 of 20)	103911	NM_018837	55959	Hs.162016	NM_018837	ENSG00000196562	SULF2	HSULF-2	sulfatase 2	protein-coding
9110	chr13	45219899	45220398	+	0	NA	intron (NM_004128, intron 5 of 7)	intron (NM_004128, intron 5 of 7)	-19103	NM_198404	386618	Hs.23406	NM_198404	ENSG00000180332	KCTD4	bA321C24.3	potassium channel tetramerization domain containing 4	protein-coding
28818	chrX	54178007	54178506	+	0	NA	intron (NM_198456, intron 1 of 1)	intron (NM_198456, intron 1 of 1)	4998	NM_001300788	54954	Hs.86045	NM_017848	ENSG00000184083	FAM120C	CXorf17|ORF34	family with sequence similarity 120C	protein-coding
20570	chr2	113217609	113218108	+	0	NA	3' UTR (NM_013992, exon 9 of 9)	3' UTR (NM_013992, exon 9 of 9)	-17669	NR_047570	654433	Hs.656660	NR_015377	ENSG00000189223	PAX8-AS1	-	PAX8 antisense RNA 1	ncRNA
133	chr2	55843084	55843583	+	0	NA	Intergenic	Intergenic	80449	NM_001039349	2202	Hs.76224	NM_004105	ENSG00000115380	EFEMP1	DHRD|DRAD|FBLN3|FBNL|FIBL-3|MLVT|MTLV|S1-5	EGF containing fibulin extracellular matrix protein 1	protein-coding
5953	chr6	45416620	45417119	+	0	NA	intron (NM_001015051, intron 2 of 7)	intron (NM_001015051, intron 2 of 7)	-5406	NM_001369405	860	Hs.535845	NM_004348	ENSG00000124813	RUNX2	AML3|CBF-alpha-1|CBFA1|CCD|CCD1|CLCD|OSF-2|OSF2|PEA2aA|PEBP2aA	RUNX family transcription factor 2	protein-coding
1714	chr17	15377624	15378123	+	0	NA	Intergenic	Intergenic	-36276	NM_031898	64518	Hs.414648	NM_031898	ENSG00000125409	TEKT3	-	tektin 3	protein-coding
14267	chr12	69107997	69108496	+	0	NA	Intergenic	L2|LINE|L2	-131323	NM_007007	11052	Hs.369606	NM_007007	ENSG00000111605	CPSF6	CFIM|CFIM68|CFIM72|HPBRII-4|HPBRII-7	cleavage and polyadenylation specific factor 6	protein-coding
11013	chr1	167175806	167176305	+	0	NA	non-coding (NR_110811, exon 4 of 4)	non-coding (NR_110811, exon 4 of 4)	19750	NR_110811	101928484	Hs.568496	NR_110811		LINC01363	RBSG4	long intergenic non-protein coding RNA 1363	ncRNA
16068	chr13	65932833	65933332	+	0	NA	Intergenic	Intergenic	33347	NR_039692	100616302		NR_039692	ENSG00000263581	MIR548X2	-	microRNA 548x-2	ncRNA
18926	chr3	171975430	171975929	+	0	NA	Intergenic	L2c|LINE|L2	-63899	NM_022763	64778	Hs.744888	NM_022763	ENSG00000075420	FNDC3B	FAD104|PRO4979|YVTM2421	fibronectin type III domain containing 3B	protein-coding
17142	chr18	10202923	10203422	+	0	NA	Intergenic	Intergenic	211198	NR_110775	101927350	Hs.572523	NR_110775	ENSG00000260913	LINC01254	-	long intergenic non-protein coding RNA 1254	ncRNA
21632	chr15	97566856	97567355	+	0	NA	Intergenic	Intergenic	-6407	NR_110756	101927310	Hs.560324	NR_110756	ENSG00000259582	LOC101927310	-	uncharacterized LOC101927310	ncRNA
1948	chr2	67259556	67260055	+	0	NA	intron (NR_110564, intron 1 of 4)	intron (NR_110564, intron 1 of 4)	-44486	NR_038844	644838	Hs.145561	NR_038844	ENSG00000236780	LINC01829	-	long intergenic non-protein coding RNA 1829	ncRNA
21577	chr1	220511117	220511616	+	0	NA	Intergenic	L2b|LINE|L2	-16770	NM_018650	4139	Hs.497806	NM_018650	ENSG00000116141	MARK1	MARK|Par-1c|Par1c	microtubule affinity regulating kinase 1	protein-coding
15742	chr8	17085898	17086397	+	0	NA	intron (NR_146233, intron 6 of 15)	intron (NR_146233, intron 6 of 15)	58909	NM_001349810	286097	Hs.403594	NM_181723	ENSG00000155970	MICU3	EFHA2	mitochondrial calcium uptake family member 3	protein-coding
1574	chr3	64163608	64164107	+	0	NA	intron (NM_001370528, intron 2 of 7)	intron (NM_001370528, intron 2 of 7)	-23687	NR_046702	100874243	Hs.670840	NR_046702	ENSG00000226017	PRICKLE2-AS3	-	PRICKLE2 antisense RNA 3	ncRNA
26419	chr11	8775670	8776169	+	0	NA	intron (NR_120590, intron 1 of 4)	intron (NR_120590, intron 1 of 4)	7141	NR_120590	102724784	Hs.613276	NR_120590		LOC102724784	-	uncharacterized LOC102724784	ncRNA
9928	chr2	190636322	190636821	+	0	NA	Intergenic	MamSINE1|SINE|tRNA-RTE	-12324	NM_001321313	4664	Hs.107474	NM_005966	ENSG00000138386	NAB1	-	NGFI-A binding protein 1	protein-coding
15099	chr15	66461914	66462413	+	0	NA	intron (NM_002755, intron 5 of 10)	L1MC5a|LINE|L1	34871	NR_039737	100616149		NR_039737	ENSG00000266589	MIR4512	-	microRNA 4512	ncRNA
14788	chr3	67948065	67948564	+	0	NA	TTS (NR_109992)	TTS (NR_109992)	-43278	NM_001252216	407738	Hs.655061	NM_213609	ENSG00000183662	TAFA1	FAM19A1|TAFA-1	TAFA chemokine like family member 1	protein-coding
19482	chr1	64915801	64916300	+	0	NA	intron (NM_001321852, intron 1 of 24)	HAL1|LINE|L1	50499	NM_001321855	3716	Hs.207538	NM_002227	ENSG00000162434	JAK1	JAK1A|JAK1B|JTK3	Janus kinase 1	protein-coding
27948	chr18	3903309	3903808	+	0	NA	intron (NM_001242761, intron 3 of 11)	intron (NM_001242761, intron 3 of 11)	18205	NR_106776	102465430		NR_106776	ENSG00000275518	MIR6718	hsa-mir-6718	microRNA 6718	ncRNA
2163	chr8	52754036	52754535	+	0	NA	Intergenic	MER65-int|LTR|ERV1	-39819	NM_001083617	9821	Hs.196102	NM_014781	ENSG00000023287	RB1CC1	ATG17|CC1|FIP200|PPP1R131	RB1 inducible coiled-coil 1	protein-coding
8485	chr2	201777031	201777530	+	0	NA	intron (NM_020919, intron 1 of 33)	intron (NM_020919, intron 1 of 33)	3653	NM_020919	57679	Hs.471096	NM_020919	ENSG00000003393	ALS2	ALS2CR6|ALSJ|IAHSP|PLSJ	alsin Rho guanine nucleotide exchange factor ALS2	protein-coding
11850	chr10	122140975	122141474	+	0	NA	intron (NM_001291876, intron 6 of 19)	intron (NM_001291876, intron 6 of 19)	-22406	NM_006997	10579	Hs.501252	NM_006997	ENSG00000138162	TACC2	AZU-1|ECTACC	transforming acidic coiled-coil containing protein 2	protein-coding
24458	chr1	208607081	208607580	+	0	NA	Intergenic	Intergenic	-121358	NR_146914	105372893	Hs.568720	NR_146914	ENSG00000232812	LINC01717	-	long intergenic non-protein coding RNA 1717	ncRNA
11567	chr6	27026332	27026831	+	0	NA	Intergenic	L2b|LINE|L2	-6275	NR_026776	100270746	Hs.590428	NR_026776		LOC100270746	-	uncharacterized LOC100270746	ncRNA
13909	chr14	58866366	58866865	+	0	NA	intron (NR_110547, intron 1 of 5)	L2b|LINE|L2	38327	NR_110547	102723742	Hs.232734	NR_110547	ENSG00000258583	LINC01500	-	long intergenic non-protein coding RNA 1500	ncRNA
2975	chr1	9080870	9081369	+	0	NA	Intergenic	AluJb|SINE|Alu	-8860	NM_001328619	6518	Hs.530003	NM_003039	ENSG00000142583	SLC2A5	GLUT-5|GLUT5	solute carrier family 2 member 5	protein-coding
8208	chr12	32828323	32828822	+	0	NA	intron (NM_001005242, intron 6 of 12)	intron (NM_001005242, intron 6 of 12)	68274	NM_004572	5318	Hs.164384	NM_004572	ENSG00000057294	PKP2	ARVD9	plakophilin 2	protein-coding
18185	chr15	70327672	70328171	+	0	NA	Intergenic	MLT1K|LTR|ERVL-MaLR	178007	NR_146562	105370880		NR_146562	ENSG00000259473	LINC02205	-	long intergenic non-protein coding RNA 2205	ncRNA
15507	chr2	161990711	161991210	+	0	NA	Intergenic	Intergenic	83255	NM_001935	1803	Hs.368912	NM_001935	ENSG00000197635	DPP4	ADABP|ADCP2|CD26|DPPIV|TP103	dipeptidyl peptidase 4	protein-coding
26422	chr4	71584278	71584777	+	0	NA	Intergenic	Intergenic	199552	NM_000583	2638	Hs.418497	NM_000583	ENSG00000145321	GC	DBP|DBP-maf|DBP/GC|GRD3|Gc-MAF|GcMAF|HEL-S-51|VDB|VDBG|VDBP	GC vitamin D binding protein	protein-coding
28234	chr7	94888463	94888962	+	0	NA	Intergenic	MER34-int|LTR|ERV1	-18882	NM_001166160	55607	Hs.21816	NM_017650	ENSG00000158528	PPP1R9A	NRB1|NRBI|Neurabin-I	protein phosphatase 1 regulatory subunit 9A	protein-coding
26078	chr15	75525717	75526216	+	0	NA	intron (NM_002833, intron 2 of 12)	intron (NM_002833, intron 2 of 12)	53349	NM_002833	5780	Hs.445775	NM_002833	ENSG00000169410	PTPN9	MEG2|PTPMEG2	protein tyrosine phosphatase non-receptor type 9	protein-coding
24277	chr3	153173711	153174210	+	0	NA	Intergenic	Intergenic	11734	NM_002886	5912	Hs.98643	NM_002886	ENSG00000181467	RAP2B	-	RAP2B, member of RAS oncogene family	protein-coding
2642	chr1	41900606	41901105	+	0	NA	intron (NR_038261, intron 2 of 3)	L2b|LINE|L2	18067	NM_024503	59269	Hs.403972	NM_024503	ENSG00000127124	HIVEP3	KBP-1|KBP1|KRC|SHN3|Schnurri-3|ZAS3|ZNF40C	human immunodeficiency virus type I enhancer binding protein 3	protein-coding
15480	chr5	108617928	108618427	+	0	NA	Intergenic	MER21C|LTR|ERVL	110084	NR_046368	100652853	Hs.133009	NR_046368	ENSG00000272523	LINC01023	HP07349	long intergenic non-protein coding RNA 1023	ncRNA
10560	chr2	237134588	237135087	+	0	NA	Intergenic	Intergenic	48948	NM_006710	10920	Hs.531713	NM_006710	ENSG00000198612	COPS8	COP9|CSN8|SGN8	COP9 signalosome subunit 8	protein-coding
4286	chr1	220300359	220300858	+	0	NA	Intergenic	Intergenic	-28155	NM_012414	25782	Hs.654849	NM_012414	ENSG00000118873	RAB3GAP2	RAB3-GAP150|RAB3GAP150|SPG69|WARBM2|p150	RAB3 GTPase activating non-catalytic protein subunit 2	protein-coding
6842	chr7	158802363	158802862	+	0	NA	intron (NM_020728, intron 1 of 21)	intron (NM_020728, intron 1 of 21)	26897	NM_001367773	57488	Hs.490795	NM_020728	ENSG00000117868	ESYT2	CHR2SYT|E-Syt2|FAM62B	extended synaptotagmin 2	protein-coding
2184	chr1	174775639	174776138	+	0	NA	intron (NM_001366451, intron 3 of 12)	MLT1J-int|LTR|ERVL-MaLR	-23850	NM_001366455	9910	Hs.585378	NM_014857	ENSG00000152061	RABGAP1L	HHL|TBC1D18	RAB GTPase activating protein 1 like	protein-coding
19740	chr8	66535703	66536202	+	0	NA	Intergenic	Intergenic	42386	NM_152765	254778	Hs.268869	NM_152765	ENSG00000169085	VXN	C8orf46	vexin	protein-coding
21842	chr7	47333235	47333734	+	0	NA	intron (NM_022748, intron 20 of 30)	intron (NM_022748, intron 20 of 30)	131319	NR_145813	109623468		NR_145813		SNORD151	-	small nucleolar RNA, C/D box 151	snoRNA
4942	chr9	91043727	91044226	+	0	NA	Intergenic	LTR56|LTR|ERV1	31156	NR_033912	100129316	Hs.458154	NR_033912		LOC100129316	-	uncharacterized LOC100129316	ncRNA
13559	chr10	129320279	129320778	+	0	NA	Intergenic	L1ME1|LINE|L1	-146713	NM_002412	4255	Hs.501522	NM_002412	ENSG00000170430	MGMT	-	O-6-methylguanine-DNA methyltransferase	protein-coding
10857	chr5	139955572	139956071	+	0	NA	intron (NM_013983, intron 1 of 10)	intron (NM_013983, intron 1 of 10)	87478	NM_013983	9542	Hs.408515	NM_004883	ENSG00000158458	NRG2	DON1|HRG2|NTAK	neuregulin 2	protein-coding
8137	chr10	373449	373948	+	0	NA	intron (NM_014974, intron 17 of 36)	LTR14B|LTR|ERVK	193704	NM_001202468	10771	Hs.292265	NM_006624	ENSG00000015171	ZMYND11	BRAM1|BS69|MRD30	zinc finger MYND-type containing 11	protein-coding
15957	chr3	113111365	113111864	+	0	NA	Intergenic	Intergenic	56117	NR_110823	101929717	Hs.638426	NR_110823	ENSG00000243795	LINC02044	-	long intergenic non-protein coding RNA 2044	ncRNA
14370	chr17	47205495	47205994	+	0	NA	Intergenic	Intergenic	-3318	NM_001002841	4635	Hs.463300	NM_002476	ENSG00000198336	MYL4	ALC1|AMLC|GT1|PRO1957	myosin light chain 4	protein-coding
