PeakID (cmd=annotatePeaks.pl gain_I315RvI315X.bed hg38)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
114	chr10	97150060	97150559	+	0	NA	intron (NM_003061, intron 4 of 36)	intron (NM_003061, intron 4 of 36)	35650	NM_003061	6585	Hs.632082	NM_003061	ENSG00000187122	SLIT1	MEGF4|SLIL1|SLIT-1|SLIT3	slit guidance ligand 1	protein-coding
38	chr1	235917338	235917837	+	0	NA	Intergenic	Intergenic	-33874	NR_102436	1130	Hs.532411	NM_000081	ENSG00000143669	LYST	CHS|CHS1	lysosomal trafficking regulator	protein-coding
190	chr2	46873559	46874058	+	0	NA	Intergenic	Intergenic	41998	NM_001171509	90411	Hs.662152	NM_139279	ENSG00000180398	MCFD2	F5F8D|F5F8D2|LMAN1IP|SDNSF	multiple coagulation factor deficiency 2	protein-coding
177	chrY	7834178	7834677	+	0	NA	Intergenic	HERVS71-int|LTR|ERV1	29503	NR_001551	83867	Hs.667616	NR_001551	ENSG00000237048	TTTY12	NCRNA00135|TTY11|TTY12	testis-specific transcript, Y-linked 12	ncRNA
36	chr1	33433567	33434066	+	0	NA	Intergenic	Intergenic	-38829	NM_145238	7579	Hs.442705	NM_145238	ENSG00000121903	ZSCAN20	KOX29|ZFP-31|ZNF31|ZNF360	zinc finger and SCAN domain containing 20	protein-coding
29	chr2	53505739	53506238	+	0	NA	Intergenic	LTR32|LTR|ERVL	-261795	NM_001346127	494143	Hs.585944	NM_001008708	ENSG00000143942	CHAC2	GCG1	ChaC cation transport regulator homolog 2	protein-coding
264	chr6	113362429	113362928	+	0	NA	Intergenic	MIRc|SINE|MIR	70769	NR_149098	105377957	Hs.25088	NR_149098	ENSG00000232316	LINC02518	-	long intergenic non-protein coding RNA 2518	ncRNA
152	chr12	10179606	10180105	+	0	NA	intron (NM_153022, intron 1 of 3)	intron (NM_153022, intron 1 of 3)	823	NM_153022	120939	Hs.226422	NM_153022	ENSG00000165685	TMEM52B	C12orf59	transmembrane protein 52B	protein-coding
279	chr7	135774184	135774683	+	0	NA	Intergenic	Intergenic	-25620	NM_205855	389558	Hs.55200	NM_205855	ENSG00000189320	FAM180A	UNQ1940	family with sequence similarity 180 member A	protein-coding
61	chr9	106892620	106893119	+	0	NA	intron (NM_001347997, intron 1 of 12)	intron (NM_001347997, intron 1 of 12)	29703	NM_001347997	58499	Hs.370379	NM_021224	ENSG00000148143	ZNF462	ZFPIP|Zfp462	zinc finger protein 462	protein-coding
47	chr14	85233490	85233989	+	0	NA	Intergenic	AluSx1|SINE|Alu	-38193	NR_145983	26843		NR_145983		SNORD3P3	RNU3P3|U3|U3.5|u3.7	small nucleolar RNA, C/D box 3 pseudogene 3	snoRNA
85	chr10	103272867	103273366	+	0	NA	Intergenic	Intergenic	-4022	NM_032727	9118	Hs.500916	NM_032727	ENSG00000148798	INA	NEF5|NF-66|TXBP-1	internexin neuronal intermediate filament protein alpha	protein-coding
224	chr6	110952323	110952822	+	0	NA	Intergenic	LTR44|LTR|ERV1	-6134	NM_138408	112495	Hs.418520	NM_138408	ENSG00000155115	GTF3C6	C6orf51|TFIIIC35|bA397G5.3	general transcription factor IIIC subunit 6	protein-coding
213	chr1	205495391	205495890	+	0	NA	Intergenic	Intergenic	-9029	NM_002596	5129	Hs.445402	NM_002596	ENSG00000117266	CDK18	PCTAIRE|PCTAIRE3|PCTK3	cyclin dependent kinase 18	protein-coding
111	chr12	119178454	119178953	+	0	NA	promoter-TSS (NM_014365)	promoter-TSS (NM_014365)	-87	NM_014365	26353	Hs.400095	NM_014365	ENSG00000152137	HSPB8	CMT2L|DHMN2|E2IG1|H11|HMN2|HMN2A|HSP22	heat shock protein family B (small) member 8	protein-coding
183	chr4	99060147	99060646	+	0	NA	intron (NM_015143, intron 10 of 10)	AluY|SINE|Alu	28392	NM_000671	128	Hs.78989	NM_000671	ENSG00000197894	ADH5	ADH-3|ADHX|FALDH|FDH|GSH-FDH|GSNOR|HEL-S-60p	alcohol dehydrogenase 5 (class III), chi polypeptide	protein-coding
14	chr8	21068024	21068523	+	0	NA	Intergenic	LTR16|LTR|ERVL	94287	NR_033894	286114	Hs.651884	NR_033894	ENSG00000253199	LINC02153	-	long intergenic non-protein coding RNA 2153	ncRNA
32	chr12	97194432	97194931	+	0	NA	Intergenic	Intergenic	-268095	NR_152618	196475	Hs.652568	NR_024037	ENSG00000255794	RMST	LINC00054|NCRMS|NCRNA00054	rhabdomyosarcoma 2 associated transcript	ncRNA
53	chr16	10991667	10992166	+	0	NA	intron (NM_015226, intron 9 of 22)	intron (NM_015226, intron 9 of 22)	47352	NM_015226	23274	Hs.35490	NM_015226	ENSG00000038532	CLEC16A	Gop-1|KIAA0350	C-type lectin domain containing 16A	protein-coding
278	chr10	77565259	77565758	+	0	NA	intron (NM_001271519, intron 1 of 28)	intron (NM_001271519, intron 1 of 28)	72300	NM_001322837	3778	Hs.144795	NM_002247	ENSG00000156113	KCNMA1	BKTM|CADEDS|KCa1.1|MaxiK|PNKD3|SAKCA|SLO|SLO-ALPHA|SLO1|bA205K10.1|hSlo|mSLO1	potassium calcium-activated channel subfamily M alpha 1	protein-coding
202	chr14	92511401	92511900	+	0	NA	Intergenic	Intergenic	-2131	NM_024832	79890	Hs.326822	NM_024832	ENSG00000100599	RIN3	-	Ras and Rab interactor 3	protein-coding
97	chr10	47402862	47403361	+	0	NA	Intergenic	Intergenic	-4054	NR_134500	107001062	Hs.576719	NR_134500		LOC107001062	-	uncharacterized LOC107001062	ncRNA
176	chr1	9719035	9719534	+	0	NA	intron (NM_005026, intron 9 of 23)	intron (NM_005026, intron 9 of 23)	27817	NM_001350235	5293	Hs.518451	NM_005026	ENSG00000171608	PIK3CD	APDS|IMD14|P110DELTA|PI3K|p110D	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta	protein-coding
71	chr20	1399976	1400475	+	0	NA	Intergenic	HERVK3-int|LTR|ERVK	-7053	NM_054014	2280	Hs.471933	NM_000801	ENSG00000088832	FKBP1A	FKBP-12|FKBP-1A|FKBP1|FKBP12|PKC12|PKCI2|PPIASE	FKBP prolyl isomerase 1A	protein-coding
55	chr7	135714536	135715035	+	0	NA	intron (NM_001318192, intron 2 of 15)	intron (NM_001318192, intron 2 of 15)	13401	NM_012450	26266	Hs.490241	NM_012450	ENSG00000164707	SLC13A4	NAS2|SUT-1|SUT1	solute carrier family 13 member 4	protein-coding
240	chr2	15169699	15170198	+	0	NA	intron (NR_052013, intron 50 of 50)	intron (NR_052013, intron 50 of 50)	391386	NR_052013	51594	Hs.467759	NM_015909	ENSG00000151779	NBAS	ILFS2|NAG|SOPH	neuroblastoma amplified sequence	protein-coding
261	chr1	90403076	90403575	+	0	NA	Intergenic	Zaphod|DNA|hAT-Tip100	-254425	NR_145742	109616984		NR_145742	ENSG00000199666	SNORD3G	-	small nucleolar RNA, C/D box 3G	snoRNA
83	chr10	113087269	113087768	+	0	NA	intron (NM_001198528, intron 4 of 14)	intron (NM_001198528, intron 4 of 14)	-39115	NM_001349871	6934	Hs.593995	NM_030756	ENSG00000148737	TCF7L2	TCF-4|TCF4	transcription factor 7 like 2	protein-coding
163	chr18	29154872	29155371	+	0	NA	Intergenic	L3|LINE|CR1	-977991	NM_001792	1000	Hs.464829	NM_001792	ENSG00000170558	CDH2	CD325|CDHN|CDw325|NCAD	cadherin 2	protein-coding
173	chr14	77313956	77314455	+	0	NA	intron (NM_013382, intron 1 of 20)	LTR40c|LTR|ERVL	6677	NM_013382	29954	Hs.132989	NM_013382	ENSG00000009830	POMT2	LGMD2N|LGMDR14|MDDGA2|MDDGB2|MDDGC2	protein O-mannosyltransferase 2	protein-coding
48	chr2	203280661	203281160	+	0	NA	intron (NM_177538, intron 8 of 12)	intron (NM_177538, intron 8 of 12)	42469	NM_177538	57404	Hs.446065	NM_020674	ENSG00000119004	CYP20A1	CYP-M	cytochrome P450 family 20 subfamily A member 1	protein-coding
271	chr2	71831133	71831632	+	0	NA	Intergenic	Intergenic	316480	NM_001277742	56603	Hs.91546	NM_019885	ENSG00000003137	CYP26B1	CYP26A2|P450RAI-2|P450RAI2|RHFCA	cytochrome P450 family 26 subfamily B member 1	protein-coding
105	chr17	31596597	31597096	+	0	NA	Intergenic	Intergenic	21435	NR_029856	100126356		NR_029856	ENSG00000283978	MIR365B	MIR365-2|MIRN365-2|hsa-mir-365b|mir-365b	microRNA 365b	ncRNA
150	chr7	7553802	7554301	+	0	NA	intron (NR_110084, intron 3 of 4)	intron (NR_110084, intron 3 of 4)	12014	NR_110084	101927391	Hs.223837	NR_110084		LOC101927391	-	uncharacterized LOC101927391	ncRNA
23	chr6	3612234	3612733	+	0	NA	Intergenic	L2c|LINE|L2	139529	NM_183373	221749	Hs.484500	NM_183373	ENSG00000168994	PXDC1	C6orf145	PX domain containing 1	protein-coding
166	chr4	57081260	57081759	+	0	NA	intron (NM_001553, intron 1 of 4)	intron (NM_001553, intron 1 of 4)	-28253	NR_034081	255130	Hs.691061	NR_034081	ENSG00000245067	IGFBP7-AS1	-	IGFBP7 antisense RNA 1	ncRNA
96	chr3	54891469	54891968	+	0	NA	intron (NM_018398, intron 25 of 37)	intron (NM_018398, intron 25 of 37)	9537	NR_046666	100874237	Hs.570583	NR_046666	ENSG00000243715	CACNA2D3-AS1	-	CACNA2D3 antisense RNA 1	ncRNA
118	chr14	85248825	85249324	+	0	NA	Intergenic	Intergenic	-22858	NR_145983	26843		NR_145983		SNORD3P3	RNU3P3|U3|U3.5|u3.7	small nucleolar RNA, C/D box 3 pseudogene 3	snoRNA
130	chr14	54253522	54254021	+	0	NA	Intergenic	Intergenic	-143097	NM_001330173	1033	Hs.84113	NM_005192	ENSG00000100526	CDKN3	CDI1|CIP2|KAP|KAP1	cyclin dependent kinase inhibitor 3	protein-coding
216	chr3	16060268	16060767	+	0	NA	Intergenic	Intergenic	-114163	NM_001319051	117248	Hs.411308	NM_054110	ENSG00000131386	GALNT15	GALNACT15|GALNT13|GALNT7|GALNTL2|PIH5|pp-GalNAc-T15	polypeptide N-acetylgalactosaminyltransferase 15	protein-coding
25	chr6	163745816	163746315	+	0	NA	Intergenic	Intergenic	-74581	NR_134620	102724152	Hs.738183	NR_134620		LOC102724152	-	uncharacterized LOC102724152	ncRNA
268	chr6	40997044	40997543	+	0	NA	intron (NR_110873, intron 1 of 5)	intron (NR_110873, intron 1 of 5)	25987	NR_110873	101929555	Hs.552555	NR_110873		LOC101929555	-	uncharacterized LOC101929555	ncRNA
186	chr7	39754676	39755175	+	0	NA	intron (NR_026999, intron 1 of 11)	intron (NR_026999, intron 1 of 11)	21357	NR_026999	349114	Hs.414183	NM_198284		LINC00265	NCRNA00265	long intergenic non-protein coding RNA 265	ncRNA
98	chr1	185565276	185565775	+	0	NA	intron (NR_110793, intron 2 of 3)	L4_A_Mam|LINE|RTE-X	62963	NR_110793	101929093	Hs.535227	NR_110793	ENSG00000228309	LINC01350	GS1-204I12.1	long intergenic non-protein coding RNA 1350	ncRNA
127	chr9	131678392	131678891	+	0	NA	intron (NM_001304275, intron 1 of 23)	intron (NM_001304275, intron 1 of 23)	31201	NM_198679	2889	Hs.127897	NM_005312	ENSG00000107263	RAPGEF1	C3G|GRF2	Rap guanine nucleotide exchange factor 1	protein-coding
6	chr1	55429059	55429558	+	0	NA	Intergenic	Intergenic	203667	NR_039618	100616272		NR_039618	ENSG00000265822	MIR4422	mir-4422	microRNA 4422	ncRNA
229	chr18	49500414	49500913	+	0	NA	Intergenic	Intergenic	-8199	NM_001199341	6139	Hs.293653	NM_000985	ENSG00000265681	RPL17	L17|PD-1|RPL23	ribosomal protein L17	protein-coding
192	chr1	8154632	8155131	+	0	NA	Intergenic	Intergenic	-53791	NR_125998	102724539	Hs.516816	NR_125998	ENSG00000227634	LINC01714	-	long intergenic non-protein coding RNA 1714	ncRNA
46	chr9	122778167	122778666	+	0	NA	Intergenic	Intergenic	-10517	NM_001001923	392391	Hs.534761	NM_001001923	ENSG00000148215	OR5C1	OR5C2P|OR9-31|OR9-F	olfactory receptor family 5 subfamily C member 1	protein-coding
